"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"PCDH9",0.066912328890057,14.0290971170448,0.0423637896681549,0.236970567786797,0.810296688626562,0.0229408187049146,4.89930253161654,"B"
"TCL1B",0.0492174890737561,6.05439575884533,0.035230810611598,0.113113702206569,1.51319942752804,0.000756968786401202,4.86251749644482,"B"
"CD79B",12.3878662870029,859.07895223472,19.847893133753,11.9443293876801,139.936149283806,0.15950248964431,4.53774833712373,"B"
"CD22",1.33260899704704,469.997843384707,5.7072593576666,3.08801838921928,139.324162513922,1.73004156285649,4.42445691589287,"B"
"CXCR5",6.37572000754888,71.9368088937998,0.153351063050365,1.98036338647398,8.85999521955449,0.0738376506931469,4.22850575005078,"B"
"COL19A1",0.459850503684606,29.8468894689755,0.452842534830267,0.555859798133583,1.29535643996707,0.266586691621252,4.03999537351758,"B"
"BACH2",14.2474036849582,46.6954997488214,0.0593062849610452,4.20925192932232,18.7027767789712,0.00570780933973056,4.0373334620678,"B"
"ARHGAP24",0.0157726675753746,83.0385700855425,33.6563654596734,0.087945383214213,58.3485869345635,3.86580093583536,3.94844716067611,"B"
"NT5E",9.71428334145705,39.08665750749,0.242033577587725,1.02331388123718,5.92677589286633,0.0200555759452278,3.91614175395051,"B"
"ELL3",1.36517311483541,20.822832813708,0.739945430527122,0.279442296107274,12.1158120691356,0.0207986136397957,3.56469303995582,"B"
"NIBAN3",1.58698902044944,106.856845016781,3.11547381435315,1.90493799814923,48.0644853903154,1.14593193900668,3.42120383890924,"B"
"CD200",2.8895008185228,47.8954657176256,0.879472365645784,0.952569514291507,12.7920504037171,0.817385121841718,3.22277335122583,"B"
"PTPRK",4.70334263319257,32.2103056095732,0.891775503431245,0.796061910735898,9.52227234286051,0.236503715447925,3.06878716522252,"B"
"CNTNAP2",0.534097558876294,13.2404631426968,0.374783089339495,0.55757596347458,4.97161148164639,0.244265905520244,2.98297652637586,"B"
"JAM3",3.72360196637055,12.5095775809664,0.312887372506989,1.77140903306871,1.87587453040865,0.0499576657686244,2.85508447164797,"B"
"SNX22",1.37113817494715,44.3254793176564,2.8075091587783,1.45203208697301,36.8448924098085,0.763774088326188,2.77993233785994,"B"
"PKIG",8.35464340869902,95.7812038107732,5.2634613424802,5.82704135840283,64.1560243182474,0.952088521050736,2.63039917142579,"B"
"FADS3",2.31420406890977,29.5821319512177,2.05662214168142,4.3534964535642,25.4699159427537,0.839338901111085,2.16847707125885,"B"
"CNN3",2.94657690453608,3.65355447325473,0.170652940719533,0.153170880178282,1.97139252527933,0.113430372942424,2.10800177979199,"B"
"TCL6",2.8484473321958,23.2211286655461,2.89466746714457,2.96211539105496,20.0727949851115,1.25818783450378,1.86014541530108,"B"
"TNFSF4",1.51724825854099,2.03313979316487,0.221640767036004,1.95944283462251,1.25787055186923,0.209615759020763,1.05962084662633,"B"
"ME1",0.233824275607484,0.152067888568462,1.80893046334147,0.0796185487795256,0.134946232411721,0,Inf,"Monocytes"
"ALDH1A1",0.00061849727110362,5.72510423465552,122.225261085241,0,22.4838492631398,0.11338260435261,Inf,"Monocytes"
"TMEM176B",0.0541301061271472,4.1876536798925,84.7019041384544,0.0726633526393242,52.2773803289619,0.384612189037241,4.66015773192778,"Monocytes"
"CLEC4E",0.518082805921998,6.3042103553101,178.803987543042,0.711986524645741,152.98608586205,133.969216272229,3.03191851345446,"Monocytes"
"C2",0.728772484425179,2.16985014604912,17.16201342682,0.736113352321106,12.181106913414,0.435894209181654,2.47841368133445,"Monocytes"
"RPH3A",0.776207785304438,2.92223395951476,21.5355838834641,0.728324077126924,18.947805487849,1.42624731557774,2.30995882360147,"Monocytes"
"TCF7L2",2.94898091085093,2.11454680604365,56.0483773817777,5.7477995022993,50.4429973612374,3.66230675240533,2.26660431978331,"Monocytes"
"CRISPLD2",1.17445740845725,3.44945221564562,44.1386681637614,1.02688540996215,34.6315212272123,34.2061580413089,2.08679182306154,"Monocytes"
"KRT73",5.0665565416889,0.0503406958070072,0.00214068804577376,7.60107777300729,0,0,Inf,"NK"
"KRT72",5.32317226705716,0.0318022028411676,0.042784263100128,11.4374375925314,0,0,Inf,"NK"
"ZFYVE28",9.52848037784517,2.5348714658228,0.591371944380522,15.5171216270896,10.1683391366251,0,Inf,"NK"
"RAB11FIP5",3.67380059656893,0.671300041200756,0.0659559516622718,5.92527957067429,0.928560618331252,0,Inf,"NK"
"MAGEE1",4.3778466827216,2.04981108084095,0.00887827888162233,5.40791475705778,1.2066126429539,0,Inf,"NK"
"ZMAT4",0.0923599557932971,0.168864760587257,0.0638007740759991,22.3111142499093,2.66909205812977,0,Inf,"NK"
"KIR2DL1",1.26630489442619,0.430731378307125,0.116857696500491,48.6955919242865,0,0.160953303737027,Inf,"NK"
"KIR2DL4",0.58518285109122,0.165271910499243,0.749841942868421,26.7568989367635,0,0.28853832309706,Inf,"NK"
"KIR2DL3",11.236464056449,1.09894079154657,0.182914044182687,110.960662306578,0,0.0548074082321904,Inf,"NK"
"ARVCF",0.318439851719665,0.411066638671375,0.430811331241854,12.3144671955851,4.06466179145589,0,Inf,"NK"
"KIR3DL2",6.09366365930411,0.806348474284258,0.209951838023449,90.6462525286272,0,0.0856388458799027,Inf,"NK"
"KLRC3",11.0363533058714,0.280988334810636,0.0883251309015614,42.8268857123832,0,0,Inf,"NK"
"KLRC2",29.1147212962899,1.02352657646278,0.308617117098374,168.634723591706,0,0.010361283146641,Inf,"NK"
"PDGFRB",3.04238303778249,0.792356822674984,0.889245631129592,23.1242582007037,0,0.0385592559918978,Inf,"NK"
"PTGDR",16.316190544396,0.801541898830011,0.196384087182091,108.727799556247,0,0.0329629414210158,Inf,"NK"
"C1orf21",20.0418228714812,0.950850990168985,0.422208849950685,77.1379230582233,25.8695143575825,0,Inf,"NK"
"TBX21",4.2271203729035,1.0727805934227,0.0307995475594287,23.8096897594927,0,0,Inf,"NK"
"TMIGD2",12.1167110171779,0.439731764222623,0.0983727853404908,24.9512111657307,9.74560179793148,0,Inf,"NK"
"PROM1",0.0198899530923746,0.017603080755641,0.0175079150093292,0.0903779619985102,0,0,Inf,"NK"
"EOMES",12.9880200383157,0.0492037035546287,0.0940978090203847,55.4740422693472,0.00354895224377624,0.00692655584524264,6.70085019347207,"NK"
"KIR3DL1",7.22754970592522,0.78525163800764,0.292719004305202,142.706552262518,0.227828482824,0.071950907877012,5.68145575401098,"NK"
