"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","cell"
"SLC12A6",2.10651,2.528745,2.13112,1.467017,1.819154,18.1487,"Neutrophils"
"SLC16A5",1.548224,1.2601015,4.9058,1.1579246,1.499491,22.62495,"Neutrophils"
"SLC19A1",2.59561,1.977135,12.8841,1.8770045,9.15625,56.9517,"Neutrophils"
"SLC22A4",1.0131275,1.01331745,2.22006,1,2.8137,23.129,"Neutrophils"
"SLC24A4",1.0590825,1.0553551,8.48278,1.079056,1.515236,1.9712095,"Monocytes"
"SLC25A37",1.862961,2.419,2.32764,2.355425,2.47839,35.0264,"Neutrophils"
"SLC2A3",15.2456,5.725505,3.15636,13.9851,4.04979,146.8405,"Neutrophils"
"SLC37A2",1,1,8.56971,1,1.246386,1.2787605,"Monocytes"
"SLC40A1",17.9412,1.2377025,18.2448,4.644105,39.1949,215.0075,"Neutrophils"
"SLC41A2",1.0527265,1.2379445,1.0826861,1.211255,9.55115,1.175688,"DC"
"SLC45A4",1.185868,1.0217834,1.0827301,1.1569605,1.151986,5.581175,"Neutrophils"
"SLC46A2",1,1,11.24,1,2.15747,1.01000745,"Monocytes"
"SLC6A6",3.56158,3.116615,10.63513,2.3801415,3.80495,49.1352,"Neutrophils"
"SLC7A7",1.281114,12.1464,255.317,1.198119,8.52741,19.2725,"Monocytes"
"SLPI",1,1,2.75349,1.01030795,1.0298731,179.673,"Neutrophils"
"SMCHD1",5.28344,5.541075,2.6862,2.950265,2.50146,35.5557,"Neutrophils"
"SMIM27",108.641,87.40095,47.1747,84.56015,42.6394,440.646,"Neutrophils"
"SNCA",1.0987194,1.1700819,18.0718,19.70295,74.4044,4.035785,"DC"
"SNX22",1,5.757645,1,1.0467107,1.151739,1.01976295,"B"
"SOD2",42.7286,25.2709,261.312,19.58045,19.0386,2664.72,"Neutrophils"
"SPAG9",1.789085,1.63899,1.719949,1.476324,1.927838,8.434715,"Neutrophils"
"SPINK2",5.82477,3.884635,1.0418864,159.23,1.776186,1.1169065,"NK"
"SPNS3",1.0802837,1.0782027,2.1342,1,66.265,1.0604265,"DC"
"SPOCK2",96.7573,19.0232,1.321914,14.1646,1.719471,7.99739,"T"
"SPP1",1,1,1,1,1,14.4652,"Neutrophils"
"SPRY2",1,1,1,5.005705,1.19066,1.0060367,"NK"
"SPTSSB",1.270439,1.0644451,1.0191555,366.8965,1,1.04861505,"NK"
"SSPN",1,18.4435,1,1,1.0139102,2.881815,"B"
"ST20",9.65254,14.19205,15.7329,20.5856,12.7255,213.447,"Neutrophils"
"ST20-MTHFS",12.8097,14.25545,19.5064,19.00325,10.77977,116.9485,"Neutrophils"
"ST6GALNAC2",1,1,1.582928,1,1,25.07605,"Neutrophils"
"STEAP1B",1,5.75054,1,1,1,1,"B"
"STEAP4",1.0543549,1.05056755,1.835714,1.0533693,1.210573,109.049,"Neutrophils"
"STOM",52.3257,5.47835,42.1289,172.7135,13.8832,16.37485,"NK"
"STX3",2.44395,1.6907325,3.1318,1.4248655,3.24143,46.38795,"Neutrophils"
"SULT1A3",1.976694,1.8729415,48.7898,1.173725,2.78405,1.5343215,"Monocytes"
"SULT1B1",2.22916,1.1620105,4.05191,3.85734,1.6753,21.31335,"Neutrophils"
"SWAP70",2.18192,59.62375,10.18837,9.114235,4.81682,1.791727,"B"
"TAFA2",1.720355,1.283519,1.721739,1.540427,1.292631,8.719855,"Neutrophils"
"TALDO1",101.894,90.11735,367.407,99.05665,265.034,2110.315,"Neutrophils"
"TBX21",2.00393,1.5922825,1.0179993,15.5844,1.0456729,1.119051,"NK"
"TCN1",1.0121978,1,1.0288732,1,1.0904141,9.793045,"Neutrophils"
"TCN2",1.224889,1,33.5036,1.0133034,3.7956,1.4851601,"Monocytes"
"TCP11L2",9.00949,9.894265,4.77419,6.66514,2.29979,50.17835,"Neutrophils"
"TDP2",23.4766,12.3767,11.7639,30.11715,11.5783,119.661,"Neutrophils"
"TECPR2",1.186416,1.08592455,1.250832,1.07293965,1.11479,5.40387,"Neutrophils"
"TESC",3.34084,2.39689,51.563,7.37383,10.23763,8.29135,"Monocytes"
"TEX54",6.02854,5.645295,4.38538,3.734559,5.3698,87.8911,"Neutrophils"
"TGFA",1.313642,1,1.0585653,1,1.0135578,14.663,"Neutrophils"
"TGM3",1,1,1,1,1,17.09595,"Neutrophils"
"THBS1",1.0936431,1.05846535,1.497652,10.39155,1.112575,1.688889,"NK"
"THEMIS",35.026,1.08682765,1.125581,1.11425115,1.112885,1.426014,"T"
"TIFAB",1,1,1.332455,1.01248575,10.52364,1,"DC"
"TIGD3",1,1.1620045,1.428817,1,2.37009,12.39534,"Neutrophils"
"TLE3",3.04411,6.021735,5.07821,4.495405,6.62922,28.1315,"Neutrophils"
"TM6SF1",1.0755765,1.2998255,10.98559,5.28923,4.28643,56.68805,"Neutrophils"
"TMCC3",1.272584,4.534505,5.29319,3.024945,2.65094,47.35125,"Neutrophils"
"TMEM140",43.0019,30.5578,20.713,45.3126,4.76953,263.561,"Neutrophils"
"TMEM145",1.522294,1.8300165,1.624762,1.2997985,1.282661,9.0894,"Neutrophils"
"TMEM154",10.37508,34.86355,29.2938,1.592163,5.99816,297.7405,"Neutrophils"
"TMEM176A",1.0288774,1.0316789,43.1827,1.008807,2.15072,1.870554,"Monocytes"
"TMEM176B",1.324187,1.234114,354.549,1.196634,8.82507,5.670665,"Monocytes"
"TMEM272",1.0817585,1.01197075,1.0115778,1,1.0163779,29.183,"Neutrophils"
"TMEM71",25.7701,4.778515,19.6858,17.6094,4.51454,187.5075,"Neutrophils"
"TMEM8B",1.949228,2.31502,1.664974,2.1039315,25.3881,1.5220095,"DC"
"TMEM91",4.45679,1.882475,8.8295,2.1591785,9.55571,120.9395,"Neutrophils"
"TNFAIP6",1,1,3.80792,1,1.0116409,122.2565,"Neutrophils"
"TNFRSF10C",1.143439,1.1506265,13.6676,1.6138695,1.78518,1399.325,"Neutrophils"
"TNFRSF11A",1.0152054,1.0136766,1.0116601,5.637255,1.0829186,1.07158995,"NK"
"TNFRSF12A",3.62958,1.10863295,6.26595,6.67747,2.79745,58.96665,"Neutrophils"
"TNFRSF13B",1.0365143,56.76045,1,1.0554947,1.0383177,1.2149435,"B"
"TNFRSF13C",1.288918,16.7062,1.205939,1.2279395,1.161696,1.2507745,"B"
"TNFRSF18",6.66393,5.7656,1.0578841,185.0305,1.061608,1.0871369,"NK"
"TNFRSF21",1.0169427,1.0193134,1.0527169,1.0797534,34.1661,1.0469325,"DC"
"TNFSF11",1,1,1,6.33961,1.0201396,1.0228819,"NK"
"TPPP3",1.0157872,1.0169709,24.6545,1,2.7336,4.73806,"Monocytes"
"TRABD2A",28.6014,2.1722995,1.203449,4.28798,2.49497,1.01992925,"T"
"TRANK1",12.1937,7.69466,2.93746,9.94987,1.360099,72.2186,"Neutrophils"
"TRAT1",115.761,1.442504,1.353748,3.330895,1.341813,2.893625,"T"
"TREM1",1.04807,1.337633,20.3748,1.050429,4.40181,407.494,"Neutrophils"
"TREML1",1,1.02366165,1.106287,1,1.0439717,7.187375,"Neutrophils"
"TRIM25",1.969729,2.499865,3.0248,2.50077,2.92778,18.6429,"Neutrophils"
"TRIM54",1,1,1,4.00246,1,1.00566965,"NK"
"TRPM6",1.133482,1.1214735,1.135489,1.1680505,1.217799,5.228265,"Neutrophils"
"TSEN34",3.03283,2.300175,3.2999,2.260179,4.77991,29.2509,"Neutrophils"
"TSPAN16",1,1,1.606097,1,1.153811,23.56145,"Neutrophils"
"TUBB1",1.102419,1.2075635,1.282467,1.0761355,1.463421,11.195895,"Neutrophils"
"TXK",28.5815,1.0707495,1.0633903,171.3545,1.182807,1.621392,"NK"
"UBALD2",3.71822,2.30925,2.22984,2.0605825,2.75278,18.09795,"Neutrophils"
"UBASH3A",27.5088,1.02451765,1.0631128,1.08683885,1.0547597,1.04194015,"T"
"UBE2B",62.0113,37.93415,57.647,53.06805,39.8878,295.5955,"Neutrophils"
"UBN1",2.04694,1.78468,1.925906,1.970214,2.02183,10.889455,"Neutrophils"
"UGT8",1.0437923,6.81883,1.0255052,1.0371354,1.0296332,1.0698359,"B"
"USP10",46.2155,37.57275,42.5192,61.7882,43.4419,461.952,"Neutrophils"
"USP15",19.9843,15.01055,31.0033,17.19225,22.987,194.655,"Neutrophils"
"VMP1",43.9641,29.20605,344.64,54.42255,65.1524,1599.77,"Neutrophils"
"VNN2",20.8031,25.4822,16.1554,26.3244,6.67723,276.662,"Neutrophils"
"VNN3",1,1,1.190104,1,1,69.3729,"Neutrophils"
"VPREB3",1.474157,500.0965,1.523315,1.506057,1.534992,1.5323145,"B"
"VPS9D1",1.209754,1.1978525,1.365416,1,1.121694,10.843365,"Neutrophils"
"WARS1",32.9819,44.1315,1084.76,48.5745,86.9761,114.622,"Monocytes"
"WLS",1.0214778,1,4.92563,1.00859075,1.0355246,40.021,"Neutrophils"
"WNT16",1,12.3297,1,1,1,1.0053345,"B"
"XCL1",1.583167,1.0176545,1.0116756,90.75135,1.0152924,1.02039275,"NK"
"XCL2",3.44612,1.10109045,1.142864,478.9245,1.191086,1.397546,"NK"
"XKR8",8.98076,4.35824,7.62155,10.0421,7.475,54.983,"Neutrophils"
"XPO6",16.5331,11.3988,10.63229,13.787,8.18033,134.3595,"Neutrophils"
"YPEL3",4.47525,4.26749,2.64253,6.342165,2.79623,31.64915,"Neutrophils"
"ZDHHC18",2.00904,1.2425635,1.463976,1.878767,1.502123,26.4088,"Neutrophils"
"ZFP36L1",151.605,261.0655,158.932,174.1565,22.0711,2113.865,"Neutrophils"
"ZMAT4",1,1,1,9.82122,1,1,"NK"
"ZNF467",1.273286,1,4.8195,1.0110471,4.59877,35.35625,"Neutrophils"
"ZNF578",1.946894,1.937352,1.240053,9.601615,1.375675,1.04236565,"NK"
"ZNF600",5.5938,4.27553,2.37223,40.4525,2.39752,1.266459,"NK"
"ZNF860",1.02731,4.872935,1.0168302,1.0333744,1.0197953,1.00898675,"B"
