"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"RPL7",402.894172382231,950.625881288329,181.286423929173,776.984563762738,310.575000286758,87.5062763611066,1.24425887318787,"B"
"CHMP7",139.68365925438,257.300620917146,84.6392722606582,62.0755832169361,56.3225101088175,69.6298107116354,1.19416144130796,"B"
"IL4R",135.985174600284,328.93148104302,119.80794061365,78.7835325280374,80.9497254252455,154.195343221477,1.0964117884732,"B"
"TRAK1",52.7636273800429,147.849932788632,82.78421692734,78.086895578917,86.8125883185029,61.0969387807176,0.732978760140248,"B"
"IRS1",22.4910630083152,33.6802813256321,15.041609343667,13.862730787178,16.1732075564962,18.6209625038992,0.684755276322524,"B"
"CNOT1",135.108563558103,255.694334447914,129.21836145126,213.923173092701,92.6897437990378,102.930792812178,0.684679935101639,"B"
"MTSS1",43.9516168237597,132.642039867141,94.7761553598135,123.614417763694,89.4012702219432,30.1073676952362,0.67771821903521,"B"
"TRAF3IP2",43.8778178935204,73.5704743841293,31.1375998064554,36.3368999736212,40.3130469398922,39.1078440743846,0.663112388218253,"B"
"COL4A3",15.3766155025173,22.3836474052631,12.1985541599032,18.9612512797829,16.1444359543733,17.2885908380284,0.346693652245054,"B"
"FCN1",85.6672498907992,21.4458969828841,2333.62236876265,95.9406208227432,151.985128924951,317.460405574756,3.18240316417634,"Monocytes"
"CSTA",27.726075506079,16.9616558276046,539.463869988962,58.6817748668481,127.779270567632,293.751053543538,2.13887686115009,"Monocytes"
"HCK",41.9298769518548,42.1288682116867,783.104361890185,48.3990792999911,283.552638692231,514.004937905968,2.01409731549379,"Monocytes"
"ASGR1",32.8392216139657,14.8157976011499,167.535769677032,24.5530828111708,49.076282220081,26.2243489525478,1.8115530359509,"Monocytes"
"MTMR11",32.7427026949892,20.0432360018573,182.688755157401,34.497790073938,46.5722164833045,32.2978521248455,1.73908951214129,"Monocytes"
"CD1D",35.3537539215319,76.8830681047159,246.098527596042,54.9273940086983,37.0561224721334,45.762269584588,1.6358127772599,"Monocytes"
"FGR",73.9996597050941,104.62668642633,933.692118951782,313.282109103594,186.4042200149,561.176183474003,1.58724360998444,"Monocytes"
"ASGR2",27.6490097589764,15.0656115147282,123.662725968267,25.169946756627,48.4409673175486,26.8269199183192,1.53207648454032,"Monocytes"
"NRGN",37.3074378743628,22.6872646015282,172.155430244363,33.6978804997201,36.4493137885043,72.8598999408224,1.51981924446343,"Monocytes"
"GIMAP4",346.155596136823,14.1647211026488,524.581810904263,348.216711741972,54.6350594001679,263.691947553334,1.4774163574624,"Monocytes"
"CACNA2D3",19.2208780230621,11.3315629753618,82.5606700945516,20.0668719120876,39.8903076474814,15.5328194679773,1.45118382985942,"Monocytes"
"CES1",28.7282295337054,13.6882738553075,123.582489746492,58.3250025868161,52.5127303247428,28.6855937425528,1.34532860396395,"Monocytes"
"NAGA",48.8962072748497,58.1291084674663,205.786739627559,43.9009168017323,91.7142299445246,39.6781419337323,1.34008447148984,"Monocytes"
"TLR5",34.5481720007962,19.4696178135919,131.35317561371,24.2987600773557,34.4025821383102,95.8330173572857,1.31741488231803,"Monocytes"
"RETN",27.9146914891134,15.7720350641981,86.6118991283259,24.1072051938599,26.2478958642981,41.7696246009506,1.20750569904309,"Monocytes"
"TFEC",14.9486499963636,18.1456264384687,73.3272144493019,14.3262568299228,51.0008041730698,29.9024702083702,1.17594640536982,"Monocytes"
"CDKN1C",31.3401065032463,12.4252492309859,91.8549890404291,65.0271736216195,21.352523656248,41.9088857866682,1.13299066413548,"Monocytes"
"FXYD6",21.2864759354635,17.8839519182055,76.0112674584892,31.1824520415876,34.8543470621307,23.1262281295237,1.11608629205252,"Monocytes"
"RNASE4",20.72661522109,18.3914612324126,62.3709616850652,17.0767793443414,34.0811328542166,19.3383864099217,1.07872766323,"Monocytes"
"CASP1",110.566959871475,107.506257281761,431.272198743999,190.819856814456,151.758406517695,261.430316154872,1.02214788569934,"Monocytes"
"SMARCD3",33.2067961127839,18.2763040741241,70.9638108571463,29.8863011974405,25.1963949984187,33.6302494406989,0.952592638519621,"Monocytes"
"CALML4",36.4888406528277,20.943087762335,75.6915114123671,31.7021173929339,37.7484639878407,35.7853750214363,0.865929483445809,"Monocytes"
