GeneSymbol	X3038	X3044	X3070	X3093	X3123	X3127	X3150	X3160	X3024	X3025	X3027	X3033	X3034	X3040	X3042	X3045	X3055	X3063	X3078	X3100	X3115	X3134	X3152	X3154	X3170	X3172	X3174	X3197	X3218	X3228	X3023	X3039	X3071	X3081	X3089	X3091	X3111	X3112	X3114	X3120	X3122	X3124	X3133	X3136	X3141	X3161	X3183	X3184	X3206	X3221	X3223	SD
AIM2	8.27146231241541	8.90062118158773	8.34781042448189	9.43606519597956	8.66755137134172	8.96184076082514	8.28802727152192	8.05558920560773	8.48637894976667	9.19614653393087	8.63152540743426	8.26298936916932	8.56016872244239	8.69688766905227	8.45424694707516	8.46568195562174	8.7371623496842	9.32041142724418	7.94298248162608	8.20659499173901	8.5994872938754	9.29543879921702	8.37192408623227	8.26404074869134	8.43111935429864	8.91882918331196	8.93039968268027	7.9834759098249	8.52464348902734	8.20373862552607	9.01141282130286	8.40836334543355	8.86609685181406	8.16511070961407	8.31043098504258	8.70877633282223	8.62058311875597	8.47290162571583	8.72274353220118	8.34527880680675	9.23449310188906	8.58416009065645	8.91971713908013	8.65574382846544	8.28421494643205	9.08578089282319	8.95499353649896	8.37354006437485	8.76097834587249	8.79711706601714	8.85856531706367	0.356965645472892
AK5	6.81816301012152	6.92173233839162	6.93742449474438	6.74454724767828	6.77563010579345	6.66019294954407	6.87545697968727	6.87116697293881	6.75651464596683	6.92992314374009	6.82968235938807	6.65415363794193	7.04623524424414	7.0156265856337	6.75405256620881	6.85745723887122	6.774971500938	6.75287295448007	7.03857724123941	6.83462195565174	7.00135241538328	6.76466417161561	6.7172702311679	6.88221628483186	6.78105436438149	6.95141921293047	6.96069348805579	6.99798622736895	7.17209747418907	6.90783768919292	6.83689526584954	6.84975479855429	6.80537694436054	6.84652069399343	6.94552642413728	6.72201603820829	6.97985043036047	6.80566153235549	6.76094302519201	6.83452290332061	6.86239111043979	6.89796192746093	6.79009915676687	7.05255048910394	6.78527384717611	6.88359255014918	6.94688822309436	6.81920318723445	6.86341831512395	6.99009163740166	6.81722048677179	0.107745580818151
ALDH1A1	8.04606991260227	8.07469095417727	8.83699918616629	9.18927973567231	8.20583921015811	8.23512980498915	7.98741128287232	8.41505021630751	8.49236090560184	8.53981597947134	8.71117342198315	7.73849537742526	8.48188784560915	8.39253181574619	8.43209889342845	8.87478777633899	7.36861708580304	8.45019888970669	8.24843635869721	8.22442664287519	8.2023218470383	9.02735592461113	8.05942293829995	8.07569559606643	7.94958248819171	8.07218192929025	8.2227734477936	8.1459698108091	9.00991015001944	8.29295866192097	8.7151415488649	8.46134821434898	8.18359352758953	9.07796732535581	8.51765725972511	8.04982754772849	7.64007871109387	8.3371626089822	8.37112991918964	8.39997594568078	8.37321425522759	8.60582956725471	8.21138645681384	7.97124837848228	8.25133144536903	8.21233011144639	8.15006662729129	8.04194139618551	8.06310211822232	8.13822873978649	8.67385127147909	0.358594884338024
ALDH1A2	6.88016090654463	6.79558511801907	6.79126124341667	6.79204478158948	6.68727395902127	6.81324871810192	6.91764677048646	6.79001425291922	6.7483161235849	6.78923311901601	6.75223464133314	6.89803239907222	6.69258785588088	6.77580834929944	6.7736288799916	6.83310030743665	6.84361654714748	6.85683224708965	6.71319711670237	6.78724069723385	6.93209398397169	6.77713221171295	6.7556565688631	6.73439422374428	6.80820237264403	6.67671011076727	6.92237964394893	6.7609309700286	6.72053233877825	6.74349471923098	6.82879952091957	6.82667517274381	6.80951605381256	6.78089349530805	6.82704047887011	6.85635761608074	6.81145207244099	6.77320947965325	6.86654164802622	6.81101634243193	6.92925550319008	6.80130104205406	6.83715454807258	6.83480967362925	6.88920887312733	6.81325129191011	6.7969600153414	6.88999134935748	6.76596882672701	6.88294472829314	6.8778229455344	0.0627548097498104
ALDH3B1	8.17726386589907	7.53126255436701	7.93069666760012	7.76510031074634	7.53525596808324	8.3401490769141	8.22316883988234	8.13345923286234	7.86734956239592	8.05741906492892	8.05797552877729	7.94644918727113	7.86537230053769	7.67403326196325	8.12982573746141	8.03981740709828	7.4596931443309	8.25813502368259	7.56791670669661	7.82293958590637	7.61708348681805	7.77799742057271	8.41380143643801	8.11038101949663	7.72723323643142	8.0139357904524	8.26006312780362	7.795024345126	8.26229836751096	7.85280073144436	8.10352855593352	8.01813297612714	8.14119026562755	7.98569902826751	7.77527049210754	7.75280782072321	7.90210197623162	7.94190785343956	8.36029173970105	8.02169323163389	8.30034238958212	8.09298723086084	7.71747586718905	7.4982787220241	8.09084177976793	7.80478973663975	8.0572705368238	7.34534775823289	7.8355669951541	7.76376682673751	7.97441602775074	0.252004344310636
ALOX15	6.86683004091191	7.10066608976271	7.03084461064174	6.91256104007249	6.73978538989257	6.90826347314132	6.91264987751788	7.31351179961563	6.96559812761502	7.1984830695676	6.9128588428073	7.03505989466754	6.87653565922634	6.96663335266604	6.86721819127362	6.83245749503939	7.16050557338765	6.70557686056587	6.8068221339038	7.13066733861621	7.11890937575793	6.81503175029912	6.82846350517646	7.12241738746115	6.90754758221535	6.77248479712641	6.90556182096194	6.7715305511103	7.02561921175978	6.92141304184753	6.92024050928778	7.10559112654539	6.80967918515329	7.03468032779688	6.86704112293321	6.9218116076429	7.20598024743521	6.75300433433052	6.89660379581028	6.86848840481065	6.88125921275198	6.86499172889375	6.88854771918963	6.75034496102896	6.87775514056921	6.71414819651956	6.83190018652802	6.9196066337297	6.9952269670477	6.91095346093363	6.76393245471319	0.137775341089087
ALOX5	11.5209439409533	12.0612073557796	11.7972722569247	12.1650249684999	11.5170821475587	12.4126734797929	11.3570470233392	11.8472092535269	11.8821185572159	12.2609336058464	12.3135198658492	12.1570817471993	11.8488451371841	12.2715271223701	12.0673343606147	12.1570817471993	11.7335139609727	12.6121967915175	11.2817795911842	11.6705901198527	11.9005471904282	12.2252554106349	11.2700925418224	11.8679164175712	11.7973427389985	12.4763187737245	11.9330703597169	11.6034978729538	11.8415280359949	11.6949031950873	12.1331973278044	12.7970689620949	12.2070243942706	11.9987987198847	11.7870924489883	12.5713267269963	12.2031495235763	12.2609636198567	12.0101465363483	11.9194970605379	12.2483021962944	12.3567779786236	12.2252554106349	11.5640203507338	12.0628961862186	11.8348764236454	12.3845406706044	12.2412190354508	11.9977241971301	11.4150369892521	11.905291628357	0.343542258950575
ALS2CL	6.75177909113382	6.73260225704943	6.8018284706849	6.79512120717599	6.79002615132879	6.63775332028865	6.8193610143246	6.78356005890902	6.64375401993529	6.64807707008617	6.70828444351887	6.65868663914328	6.64675811101638	6.72270896206924	6.59023318776231	6.7039327486953	6.64108768720679	6.631581877989	6.66829821264314	6.75384724173436	6.75654143745677	6.76676610052767	6.7605766915236	6.77483386230663	6.66496150311542	6.6794979879762	6.65730661444033	6.86570766045991	6.77710291782116	6.84794781018823	6.74616927009517	6.71688963423745	6.73746350485444	6.55844944280798	6.65275036200172	6.65484934811419	6.88083410158261	6.70033313403698	6.74550352459278	6.70434592026113	6.6618238413072	6.91426323344329	6.68550865115325	6.7418589130602	6.70986985316655	6.62392483772238	6.70941674907582	6.66703524466939	6.64763894192408	6.73629848939804	6.69414133238206	0.0742598523888363
ANGPT1	7.17747339270948	7.00718199677679	7.00864617632801	7.03213356885938	7.01493065753378	7.23015568563594	6.88486374045821	7.48534480213666	7.03910263282688	7.19287295475371	7.04447017174167	7.1243071346915	6.81234311560117	7.0874489463886	7.20950809154909	7.00627885363708	7.15954313624114	7.0019899560489	7.00489006414789	6.88630438750349	7.00611028581503	7.0988090697828	6.78181812976791	7.01287844248098	7.34001262622406	7.36077269277073	7.11256167884919	7.03377064516177	7.48460353694641	7.34969197319027	7.06324646524879	7.59408156795555	7.05675829662225	7.1813158025414	7.07132019454464	7.40445350059639	7.10020250440496	7.05833016895131	7.06425882422358	6.94879253334281	7.01066434405797	6.85956437287333	6.99679042055869	7.07528176405509	7.06264032663343	7.25447379749645	6.96874685526754	7.41616972534621	6.96140756474987	7.18113165956595	6.91371972347268	0.17579075384965
AOC2	6.81526185297514	6.78965532134056	6.81878439119826	6.72114308302095	6.78142862244994	6.81269301880445	6.72961279766963	6.82756400811407	6.83116240423999	6.85746346276092	6.9269532508891	6.7817753539211	6.84241724631123	6.90370503884424	6.9257040473918	6.82522964055413	6.83419559362619	6.9365509300919	6.75805712106211	6.84517035366407	6.69205644030995	6.86989245518685	6.80651931364608	6.80310444341914	6.72818806186557	6.87668824129316	6.83881850020199	6.68160100155301	6.89606343201481	6.78712369365692	6.73408905820084	6.85051002230463	6.86834046198627	6.71964517188921	6.72002654048831	7.0032135789264	6.87572275108996	6.76457626501969	6.92178191132441	6.77380352709914	6.83494328862016	6.8732586886306	6.84455775834636	6.75646481751507	6.72766003149739	6.83700221889904	6.83304800565588	6.86633263413716	6.79975444011863	6.79426019521066	6.82196998964937	0.0681213600607092
