Mixture,T.cell,B.cell,monocyte,NK.cell,DC,neutrophil,P-value,Correlation,RMSE,Absolute score (sig.score)
3039,2.30161943365148,0,1.08002201527129,0.0796191515469784,0.00263179108647143,0.85549280026244,0,0.814840400088759,0.65554411952924,4.31938519181866
3071,2.14618856334705,0.221035184176884,1.04394598474297,0.0903713662075285,0,0.60965984762469,0,0.850716196962198,0.68854388279382,4.11120094609912
3081,1.92906035463228,0.211809126423522,0.896278049281536,0.0121207753469601,0,0.690532450101166,0,0.832473893120079,0.658321387951856,3.73980075578546
3089,1.82044003194425,0.257759460131629,0.566563500610759,0.155580783271521,0,0.22710258158706,0,0.878442866664014,0.788295267803625,3.02744635754522
3091,2.4131795075435,0,1.00538682361164,0,0,1.05160831444889,0,0.822262078957789,0.618042851425013,4.47017464560404
3111,2.09736921713206,0.237920249278093,0.750563312900706,0.0520231679534406,0,0.587547566501714,0,0.8461053371192,0.685260015203674,3.72542351376602
3112,2.08185372953708,0.189547049833073,0.86070341655375,0.118436624467463,0,0.464282092447149,0,0.865632924963629,0.714688489230785,3.71482291283852
3114,1.84411968621486,0.182580544124248,1.16469716151939,0.0457509114267443,0,0.408653042651405,0,0.860258564293091,0.724300938218768,3.64580134593666
3120,1.68529373567361,0.326621997254446,0.845732090038675,0.097848060322723,0,0.395702216267198,0,0.858801704784028,0.725714316809907,3.35119809955665
3122,1.91354678474383,0.308495300620265,0.961977579691763,0.118627202855676,0,0.87077921493666,0,0.852045231176275,0.61567779140843,4.17342608284819
3124,2.01035069459516,0.203934331236093,0.961508147602189,0.114128753324781,0,0.669581876838108,0,0.856964738872375,0.658054672475292,3.95950380359634
3133,2.23288304275971,0.0696361841467099,0.819673961414175,0.141023485427305,0.0101903719730771,0.772705988865609,0,0.848944073124309,0.639854878907456,4.04611303458659
3136,1.87004908781285,0.151823582293798,0.460528153078224,0.0959143384807653,0,0.222399954696042,0,0.856669125050369,0.794593605823888,2.80071511636168
3141,1.97145226451171,0.301891735449253,0.749830108163823,0.0592275632974429,0,0.342802815151507,0,0.817477123326427,0.773974870649107,3.42520448657373
3161,1.79044775293084,0.395097160050915,0.472898604810445,0.0706663753225928,0,0.281306571108563,0,0.850031486075212,0.779029696824892,3.01041646422336
